question,label,answer
what is acceleration,physics,Acceleration is the rate of change of velocity. ⚡ Formula: a = (v - u) / t where v = final velocity u = initial velocity t = time. Unit: m/s²
what is momentum,physics,Momentum is the product of mass and velocity. 💨 Formula: p = mv. It is a vector quantity. The law of conservation of momentum states that total momentum is conserved in a closed system.
what is kinetic energy,physics,Kinetic Energy is the energy an object has due to its motion. ⚡ Formula: KE = ½mv² where m = mass and v = velocity. Unit: Joules (J)
what is potential energy,physics,Potential Energy is stored energy due to an object's position or state. 🏔️ Gravitational PE formula: PE = mgh where m = mass g = 9.8 m/s² h = height. Unit: Joules (J)
what is work,physics,Work is done when a force moves an object in the direction of the force. 💪 Formula: W = F × d (Force × distance). Unit: Joules (J). Work is only done if the object moves!
what is power,physics,Power is the rate of doing work or transferring energy. ⚡ Formula: P = W/t (Work ÷ time). Unit: Watts (W). 1 Watt = 1 Joule per second.
what is an atom,chemistry,An atom is the smallest unit of an element that retains its chemical properties. ⚛️ It consists of protons and neutrons in the nucleus with electrons orbiting in shells.
what is an element,chemistry,An element is a pure substance made of only one type of atom. 🔬 There are 118 elements in the periodic table. Examples: Hydrogen (H) Oxygen (O) Carbon (C) Gold (Au).
what is a compound,chemistry,A compound is a substance formed when two or more elements chemically combine in fixed ratios. 🧪 Examples: Water (H₂O) Salt (NaCl) Carbon dioxide (CO₂). Compounds have different properties from their elements.
what is a mixture,chemistry,A mixture contains two or more substances that are physically combined but not chemically joined. 🧪 Mixtures can be separated by physical means like filtering distillation or evaporation.
what is ph,chemistry,pH is a scale from 0 to 14 that measures acidity or alkalinity. 🧪 pH 7 = neutral (water) below 7 = acidic (vinegar lemon juice) above 7 = alkaline/basic (soap bleach).
what is oxidation,chemistry,Oxidation is the loss of electrons by a substance during a chemical reaction. 🔥 It is always paired with reduction (gaining electrons). Remember OIL RIG: Oxidation Is Loss Reduction Is Gain.
what is an acid,chemistry,An acid is a substance that donates hydrogen ions (H⁺) in solution. 🧪 Acids have pH below 7 taste sour and turn blue litmus red. Examples: HCl (hydrochloric acid) H₂SO₄ (sulphuric acid).
what is a base,chemistry,A base is a substance that accepts hydrogen ions (H⁺) or donates hydroxide ions (OH⁻). 🧪 Bases have pH above 7 feel soapy and turn red litmus blue. Examples: NaOH (sodium hydroxide) ammonia.
what is the periodic table,chemistry,The periodic table is a chart of all known elements arranged by atomic number and chemical properties. 📊 It has 118 elements 7 periods (rows) and 18 groups (columns). Created by Dmitri Mendeleev in 1869.
what is atomic number,chemistry,The atomic number is the number of protons in the nucleus of an atom. ⚛️ It uniquely identifies an element. Example: Carbon has atomic number 6 (6 protons). It determines the element's position in the periodic table.
what is a chemical bond,chemistry,A chemical bond is the force that holds atoms together in a compound. 🔗 Types: Ionic bonds (transfer of electrons between metals and non-metals) Covalent bonds (sharing of electrons between non-metals).
